seasonNum,episodeNum,episodeTitle,sceneNum,sceneStart,sceneEnd,location,subLocation,name,time
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Sansa Stark,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Theon Greyjoy,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Jon Snow,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Jory Cassel,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Hodor,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Rodrik Cassel,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Robert Baratheon,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Cersei Lannister,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Jaime Lannister,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Myrcella Baratheon,337
1,1,Winter Is Coming,21,23M 39S,29M 16S,The North,Winterfell,Tommen Baratheon,337
1,1,Winter Is Coming,22,29M 16S,30M 47S,The North,Winterfell,Robert Baratheon,91
1,1,Winter Is Coming,22,29M 16S,30M 47S,The North,Winterfell,Eddard Stark,91
1,1,Winter Is Coming,23,30M 47S,32M 57S,The North,Winterfell,Jaime Lannister,130
1,1,Winter Is Coming,23,30M 47S,32M 57S,The North,Winterfell,Tyrion Lannister,130
1,1,Winter Is Coming,23,30M 47S,32M 57S,The North,Winterfell,Ros,130
1,1,Winter Is Coming,24,32M 57S,33M 45S,The North,Winterfell,Robert Baratheon,48
1,1,Winter Is Coming,24,32M 57S,33M 45S,The North,Winterfell,Eddard Stark,48
1,1,Winter Is Coming,25,33M 45S,36M 17S,Pentos,NA,Daenerys Targaryen,152
1,1,Winter Is Coming,25,33M 45S,36M 17S,Pentos,NA,Viserys Targaryen,152
1,1,Winter Is Coming,26,36M 17S,38M 23S,Pentos,NA,Daenerys Targaryen,126
1,1,Winter Is Coming,26,36M 17S,38M 23S,Pentos,NA,Viserys Targaryen,126
1,1,Winter Is Coming,26,36M 17S,38M 23S,Pentos,NA,Illyrio Mopatis,126
1,1,Winter Is Coming,26,36M 17S,38M 23S,Pentos,NA,Khal Drogo,126
1,1,Winter Is Coming,26,36M 17S,38M 23S,Pentos,NA,Qotho,126
1,1,Winter Is Coming,27,38M 23S,40M 5S,Pentos,NA,Viserys Targaryen,102
1,1,Winter Is Coming,27,38M 23S,40M 5S,Pentos,NA,Illyrio Mopatis,102
1,1,Winter Is Coming,27,38M 23S,40M 5S,Pentos,NA,Daenerys Targaryen,102
1,1,Winter Is Coming,28,40M 5S,40M 56S,The North,Winterfell,Catelyn Stark,51
1,1,Winter Is Coming,28,40M 5S,40M 56S,The North,Winterfell,Sansa Stark,51
1,1,Winter Is Coming,29,40M 56S,41M 19S,The North,Winterfell,Robert Baratheon,23
1,1,Winter Is Coming,29,40M 56S,41M 19S,The North,Winterfell,Catelyn Stark,23
1,1,Winter Is Coming,29,40M 56S,41M 19S,The North,Winterfell,Cersei Lannister,23
1,1,Winter Is Coming,29,40M 56S,41M 19S,The North,Winterfell,Rodrik Cassel,23
1,1,Winter Is Coming,30,41M 19S,44M 14S,The North,Winterfell,Jon Snow,175
1,1,Winter Is Coming,30,41M 19S,44M 14S,The North,Winterfell,Benjen Stark,175
1,1,Winter Is Coming,30,41M 19S,44M 14S,The North,Winterfell,Tyrion Lannister,175
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Rodrik Cassel,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Benjen Stark,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Eddard Stark,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Robb Stark,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Robert Baratheon,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Catelyn Stark,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Cersei Lannister,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Sansa Stark,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Joffrey Baratheon,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Jaime Lannister,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Arya Stark,194
1,1,Winter Is Coming,31,44M 14S,47M 28S,The North,Winterfell,Theon Greyjoy,194
1,1,Winter Is Coming,32,47M 28S,50M 29S,The North,Winterfell,Eddard Stark,181
1,1,Winter Is Coming,32,47M 28S,50M 29S,The North,Winterfell,Catelyn Stark,181
1,1,Winter Is Coming,32,47M 28S,50M 29S,The North,Winterfell,Maester Luwin,181
1,1,Winter Is Coming,33,50M 29S,56M 5S,Pentos,NA,Khal Drogo,336
1,1,Winter Is Coming,33,50M 29S,56M 5S,Pentos,NA,Daenerys Targaryen,336
1,1,Winter Is Coming,33,50M 29S,56M 5S,Pentos,NA,Viserys Targaryen,336
1,1,Winter Is Coming,33,50M 29S,56M 5S,Pentos,NA,Illyrio Mopatis,336
1,1,Winter Is Coming,33,50M 29S,56M 5S,Pentos,NA,Qotho,336
1,1,Winter Is Coming,33,50M 29S,56M 5S,Pentos,NA,Jorah Mormont,336
1,1,Winter Is Coming,33,50M 29S,56M 5S,Pentos,NA,Drogon,336
1,1,Winter Is Coming,33,50M 29S,56M 5S,Pentos,NA,Rhaegal,336
1,1,Winter Is Coming,33,50M 29S,56M 5S,Pentos,NA,Viserion,336
1,1,Winter Is Coming,34,56M 5S,57M 48S,Pentos,NA,Khal Drogo,103
1,1,Winter Is Coming,34,56M 5S,57M 48S,Pentos,NA,Daenerys Targaryen,103
1,1,Winter Is Coming,35,57M 48S,59M 6S,The North,Winterfell,Tyrion Lannister,78
1,1,Winter Is Coming,35,57M 48S,59M 6S,The North,Winterfell,Sandor Clegane,78
1,1,Winter Is Coming,35,57M 48S,59M 6S,The North,Winterfell,Theon Greyjoy,78
1,1,Winter Is Coming,35,57M 48S,59M 6S,The North,Winterfell,Eddard Stark,78
1,1,Winter Is Coming,35,57M 48S,59M 6S,The North,Winterfell,Benjen Stark,78
1,1,Winter Is Coming,35,57M 48S,59M 6S,The North,Winterfell,Robb Stark,78
1,1,Winter Is Coming,35,57M 48S,59M 6S,The North,Winterfell,Robert Baratheon,78
1,1,Winter Is Coming,35,57M 48S,59M 6S,The North,Winterfell,Bran Stark,78
1,1,Winter Is Coming,35,57M 48S,59M 6S,The North,Winterfell,Summer,78
1,1,Winter Is Coming,36,59M 6S,1H 0M 57S,The North,Winterfell,Bran Stark,111
1,1,Winter Is Coming,36,59M 6S,1H 0M 57S,The North,Winterfell,Summer,111
1,1,Winter Is Coming,36,59M 6S,1H 0M 57S,The North,Winterfell,Jaime Lannister,111
1,1,Winter Is Coming,36,59M 6S,1H 0M 57S,The North,Winterfell,Cersei Lannister,111
1,2,The Kingsroad,1,2M 22S,5M 28S,The Dothraki Sea,NA,Jorah Mormont,186
1,2,The Kingsroad,1,2M 22S,5M 28S,The Dothraki Sea,NA,Daenerys Targaryen,186
1,2,The Kingsroad,1,2M 22S,5M 28S,The Dothraki Sea,NA,Khal Drogo,186
1,2,The Kingsroad,1,2M 22S,5M 28S,The Dothraki Sea,NA,Viserys Targaryen,186
1,2,The Kingsroad,1,2M 22S,5M 28S,The Dothraki Sea,NA,Doreah,186
1,2,The Kingsroad,1,2M 22S,5M 28S,The Dothraki Sea,NA,Irri,186
1,2,The Kingsroad,1,2M 22S,5M 28S,The Dothraki Sea,NA,Jhiqui,186
1,2,The Kingsroad,2,5M 28S,7M 5S,The North,Winterfell,Tyrion Lannister,97
1,2,The Kingsroad,2,5M 28S,7M 5S,The North,Winterfell,Joffrey Baratheon,97
1,2,The Kingsroad,2,5M 28S,7M 5S,The North,Winterfell,Sandor Clegane,97
1,2,The Kingsroad,3,7M 5S,9M 18S,The North,Winterfell,Tyrion Lannister,133
1,2,The Kingsroad,3,7M 5S,9M 18S,The North,Winterfell,Jaime Lannister,133
1,2,The Kingsroad,3,7M 5S,9M 18S,The North,Winterfell,Cersei Lannister,133
1,2,The Kingsroad,3,7M 5S,9M 18S,The North,Winterfell,Tommen Baratheon,133
1,2,The Kingsroad,3,7M 5S,9M 18S,The North,Winterfell,Myrcella Baratheon,133
1,2,The Kingsroad,4,9M 18S,11M 44S,The North,Winterfell,Catelyn Stark,146
1,2,The Kingsroad,4,9M 18S,11M 44S,The North,Winterfell,Bran Stark,146
1,2,The Kingsroad,4,9M 18S,11M 44S,The North,Winterfell,Cersei Lannister,146
1,2,The Kingsroad,5,11M 44S,13M 26S,The North,Winterfell,Jon Snow,102
1,2,The Kingsroad,5,11M 44S,13M 26S,The North,Winterfell,Jaime Lannister,102
1,2,The Kingsroad,6,13M 26S,15M 43S,The North,Winterfell,Arya Stark,137
1,2,The Kingsroad,6,13M 26S,15M 43S,The North,Winterfell,Nymeria,137
1,2,The Kingsroad,6,13M 26S,15M 43S,The North,Winterfell,Jon Snow,137
1,2,The Kingsroad,7,15M 43S,19M 22S,The North,Winterfell,Catelyn Stark,219
1,2,The Kingsroad,7,15M 43S,19M 22S,The North,Winterfell,Jon Snow,219
1,2,The Kingsroad,7,15M 43S,19M 22S,The North,Winterfell,Bran Stark,219
1,2,The Kingsroad,7,15M 43S,19M 22S,The North,Winterfell,Eddard Stark,219
1,2,The Kingsroad,8,19M 22S,20M 7S,The North,Winterfell,Jon Snow,45
1,2,The Kingsroad,8,19M 22S,20M 7S,The North,Winterfell,Robb Stark,45
1,2,The Kingsroad,9,20M 7S,21M 51S,The North,Winterfell,Tyrion Lannister,104
1,2,The Kingsroad,9,20M 7S,21M 51S,The North,Winterfell,Benjen Stark,104
1,2,The Kingsroad,9,20M 7S,21M 51S,The North,Winterfell,Eddard Stark,104
1,2,The Kingsroad,9,20M 7S,21M 51S,The North,Winterfell,Jon Snow,104
1,2,The Kingsroad,10,21M 51S,25M 10S,The North,The Kingsroad South to King's Landing,Robert Baratheon,199
1,2,The Kingsroad,10,21M 51S,25M 10S,The North,The Kingsroad South to King's Landing,Eddard Stark,199
1,2,The Kingsroad,11,25M 10S,25M 56S,The Dothraki Sea,Dothraki Camp,Khal Drogo,46
1,2,The Kingsroad,11,25M 10S,25M 56S,The Dothraki Sea,Dothraki Camp,Daenerys Targaryen,46
1,2,The Kingsroad,11,25M 10S,25M 56S,The Dothraki Sea,Dothraki Camp,Drogon,46
1,2,The Kingsroad,11,25M 10S,25M 56S,The Dothraki Sea,Dothraki Camp,Rhaegal,46
1,2,The Kingsroad,11,25M 10S,25M 56S,The Dothraki Sea,Dothraki Camp,Viserion,46
1,2,The Kingsroad,12,25M 56S,29M 16S,The North,North to the Wall,Jon Snow,200
1,2,The Kingsroad,12,25M 56S,29M 16S,The North,North to the Wall,Ghost,200
1,2,The Kingsroad,12,25M 56S,29M 16S,The North,North to the Wall,Benjen Stark,200
1,2,The Kingsroad,12,25M 56S,29M 16S,The North,North to the Wall,Tyrion Lannister,200
1,2,The Kingsroad,12,25M 56S,29M 16S,The North,North to the Wall,Rast,200
1,2,The Kingsroad,13,29M 16S,32M 28S,The North,Winterfell,Catelyn Stark,192
1,2,The Kingsroad,13,29M 16S,32M 28S,The North,Winterfell,Bran Stark,192
1,2,The Kingsroad,13,29M 16S,32M 28S,The North,Winterfell,Maester Luwin,192
1,2,The Kingsroad,13,29M 16S,32M 28S,The North,Winterfell,Robb Stark,192
1,2,The Kingsroad,13,29M 16S,32M 28S,The North,Winterfell,Catspaw Assassin,192
1,2,The Kingsroad,13,29M 16S,32M 28S,The North,Winterfell,Summer,192
1,2,The Kingsroad,14,32M 28S,34M 21S,The Dothraki Sea,Dothraki Camp,Daenerys Targaryen,113
1,2,The Kingsroad,14,32M 28S,34M 21S,The Dothraki Sea,Dothraki Camp,Doreah,113
1,2,The Kingsroad,14,32M 28S,34M 21S,The Dothraki Sea,Dothraki Camp,Irri,113
1,2,The Kingsroad,14,32M 28S,34M 21S,The Dothraki Sea,Dothraki Camp,Jhiqui,113
1,2,The Kingsroad,14,32M 28S,34M 21S,The Dothraki Sea,Dothraki Camp,Drogon,113
1,2,The Kingsroad,14,32M 28S,34M 21S,The Dothraki Sea,Dothraki Camp,Rhaegal,113
1,2,The Kingsroad,14,32M 28S,34M 21S,The Dothraki Sea,Dothraki Camp,Viserion,113
1,2,The Kingsroad,15,34M 21S,34M 53S,The Wall,The Gift,Benjen Stark,32
1,2,The Kingsroad,15,34M 21S,34M 53S,The Wall,The Gift,Jon Snow,32
1,2,The Kingsroad,15,34M 21S,34M 53S,The Wall,The Gift,Tyrion Lannister,32
1,2,The Kingsroad,16,34M 53S,36M 12S,The North,Winterfell,Catelyn Stark,79
1,2,The Kingsroad,17,36M 12S,38M 1S,The North,Winterfell,Catelyn Stark,109
1,2,The Kingsroad,17,36M 12S,38M 1S,The North,Winterfell,Robb Stark,109
1,2,The Kingsroad,17,36M 12S,38M 1S,The North,Winterfell,Maester Luwin,109
1,2,The Kingsroad,17,36M 12S,38M 1S,The North,Winterfell,Rodrik Cassel,109
1,2,The Kingsroad,17,36M 12S,38M 1S,The North,Winterfell,Theon Greyjoy,109
1,2,The Kingsroad,18,38M 1S,38M 54S,The North,Winterfell,Catelyn Stark,53
1,2,The Kingsroad,18,38M 1S,38M 54S,The North,Winterfell,Bran Stark,53
1,2,The Kingsroad,19,38M 54S,40M 37S,The Dothraki Sea,Dothraki Camp,Daenerys Targaryen,103
1,2,The Kingsroad,19,38M 54S,40M 37S,The Dothraki Sea,Dothraki Camp,Doreah,103
1,2,The Kingsroad,20,40M 37S,42M 47S,The Dothraki Sea,Dothraki Camp,Drogon,130
1,2,The Kingsroad,20,40M 37S,42M 47S,The Dothraki Sea,Dothraki Camp,Rhaegal,130
1,2,The Kingsroad,20,40M 37S,42M 47S,The Dothraki Sea,Dothraki Camp,Viserion,130
1,2,The Kingsroad,20,40M 37S,42M 47S,The Dothraki Sea,Dothraki Camp,Khal Drogo,130
1,2,The Kingsroad,20,40M 37S,42M 47S,The Dothraki Sea,Dothraki Camp,Daenerys Targaryen,130
1,2,The Kingsroad,21,42M 47S,44M 38S,The Riverlands,Crossroads Inn,Sansa Stark,111
1,2,The Kingsroad,21,42M 47S,44M 38S,The Riverlands,Crossroads Inn,Lady,111
1,2,The Kingsroad,21,42M 47S,44M 38S,The Riverlands,Crossroads Inn,Joffrey Baratheon,111
1,2,The Kingsroad,21,42M 47S,44M 38S,The Riverlands,Crossroads Inn,Sandor Clegane,111
1,2,The Kingsroad,21,42M 47S,44M 38S,The Riverlands,Crossroads Inn,Ilyn Payne,111
1,2,The Kingsroad,22,44M 38S,47M 21S,The Riverlands,Crossroads Inn,Arya Stark,163
1,2,The Kingsroad,22,44M 38S,47M 21S,The Riverlands,Crossroads Inn,Mycah,163
1,2,The Kingsroad,22,44M 38S,47M 21S,The Riverlands,Crossroads Inn,Joffrey Baratheon,163
1,2,The Kingsroad,22,44M 38S,47M 21S,The Riverlands,Crossroads Inn,Sansa Stark,163
1,2,The Kingsroad,22,44M 38S,47M 21S,The Riverlands,Crossroads Inn,Nymeria,163
1,2,The Kingsroad,23,47M 21S,48M 12S,The Riverlands,Crossroads Inn,Arya Stark,51
1,2,The Kingsroad,23,47M 21S,48M 12S,The Riverlands,Crossroads Inn,Nymeria,51
1,2,The Kingsroad,24,48M 12S,48M 50S,The Riverlands,Crossroads Inn,Eddard Stark,38
1,2,The Kingsroad,24,48M 12S,48M 50S,The Riverlands,Crossroads Inn,Jory Cassel,38
1,2,The Kingsroad,25,48M 50S,52M 59S,The Riverlands,Crossroads Inn,Eddard Stark,249
1,2,The Kingsroad,25,48M 50S,52M 59S,The Riverlands,Crossroads Inn,Arya Stark,249
1,2,The Kingsroad,25,48M 50S,52M 59S,The Riverlands,Crossroads Inn,Joffrey Baratheon,249
1,2,The Kingsroad,25,48M 50S,52M 59S,The Riverlands,Crossroads Inn,Cersei Lannister,249
1,2,The Kingsroad,25,48M 50S,52M 59S,The Riverlands,Crossroads Inn,Robert Baratheon,249
1,2,The Kingsroad,25,48M 50S,52M 59S,The Riverlands,Crossroads Inn,Ilyn Payne,249
1,2,The Kingsroad,25,48M 50S,52M 59S,The Riverlands,Crossroads Inn,Sansa Stark,249
1,2,The Kingsroad,25,48M 50S,52M 59S,The Riverlands,Crossroads Inn,Jory Cassel,249
1,2,The Kingsroad,26,52M 59S,53M 30S,The Riverlands,Crossroads Inn,Sandor Clegane,31
1,2,The Kingsroad,26,52M 59S,53M 30S,The Riverlands,Crossroads Inn,Mycah,31
1,2,The Kingsroad,26,52M 59S,53M 30S,The Riverlands,Crossroads Inn,Eddard Stark,31
1,2,The Kingsroad,27,53M 30S,53M 41S,The North,Winterfell,Bran Stark,11
1,2,The Kingsroad,27,53M 30S,53M 41S,The North,Winterfell,Summer,11
1,2,The Kingsroad,28,53M 41S,54M 9S,The Riverlands,Crossroads Inn,Lady,28
1,2,The Kingsroad,28,53M 41S,54M 9S,The Riverlands,Crossroads Inn,Eddard Stark,28
1,2,The Kingsroad,29,54M 9S,54M 25S,The North,Winterfell,Bran Stark,16
1,2,The Kingsroad,29,54M 9S,54M 25S,The North,Winterfell,Summer,16
1,2,The Kingsroad,30,54M 25S,54M 35S,The Riverlands,Crossroads Inn,Eddard Stark,10
1,2,The Kingsroad,30,54M 25S,54M 35S,The Riverlands,Crossroads Inn,Lady,10
1,2,The Kingsroad,31,54M 35S,54M 44S,The North,Winterfell,Bran Stark,9
1,2,The Kingsroad,31,54M 35S,54M 44S,The North,Winterfell,Summer,9
1,3,Lord Snow,1,1M 47S,2M 42S,The Crownlands,King's Landing,Eddard Stark,55
1,3,Lord Snow,1,1M 47S,2M 42S,The Crownlands,King's Landing,Sansa Stark,55
1,3,Lord Snow,1,1M 47S,2M 42S,The Crownlands,King's Landing,Arya Stark,55
1,3,Lord Snow,1,1M 47S,2M 42S,The Crownlands,King's Landing,Jory Cassel,55
1,3,Lord Snow,1,1M 47S,2M 42S,The Crownlands,King's Landing,Septa Mordane,55
1,3,Lord Snow,1,1M 47S,2M 42S,The Crownlands,King's Landing,Royal Steward,55
1,3,Lord Snow,2,2M 42S,5M 17S,The Crownlands,King's Landing,Eddard Stark,155
1,3,Lord Snow,2,2M 42S,5M 17S,The Crownlands,King's Landing,Jaime Lannister,155
1,3,Lord Snow,3,5M 17S,8M 11S,The Crownlands,King's Landing,Eddard Stark,174
1,3,Lord Snow,3,5M 17S,8M 11S,The Crownlands,King's Landing,Lord Varys,174
1,3,Lord Snow,3,5M 17S,8M 11S,The Crownlands,King's Landing,Grand Maester Pycelle,174
1,3,Lord Snow,3,5M 17S,8M 11S,The Crownlands,King's Landing,Renly Baratheon,174
1,3,Lord Snow,3,5M 17S,8M 11S,The Crownlands,King's Landing,Petyr Baelish,174
1,3,Lord Snow,4,8M 11S,10M 50S,The Crownlands,King's Landing,Joffrey Baratheon,159
1,3,Lord Snow,4,8M 11S,10M 50S,The Crownlands,King's Landing,Cersei Lannister,159
1,3,Lord Snow,5,10M 50S,12M 11S,The Crownlands,King's Landing,Arya Stark,81
1,3,Lord Snow,5,10M 50S,12M 11S,The Crownlands,King's Landing,Sansa Stark,81
1,3,Lord Snow,5,10M 50S,12M 11S,The Crownlands,King's Landing,Septa Mordane,81
1,3,Lord Snow,5,10M 50S,12M 11S,The Crownlands,King's Landing,Eddard Stark,81
1,3,Lord Snow,6,12M 11S,15M 48S,The Crownlands,King's Landing,Arya Stark,217
1,3,Lord Snow,6,12M 11S,15M 48S,The Crownlands,King's Landing,Eddard Stark,217
1,3,Lord Snow,7,15M 48S,18M 50S,The North,Winterfell,Bran Stark,182
1,3,Lord Snow,7,15M 48S,18M 50S,The North,Winterfell,Old Nan,182
1,3,Lord Snow,7,15M 48S,18M 50S,The North,Winterfell,Robb Stark,182
1,3,Lord Snow,8,18M 50S,21M 42S,The Crownlands,King's Landing,Rodrik Cassel,172
1,3,Lord Snow,8,18M 50S,21M 42S,The Crownlands,King's Landing,Catelyn Stark,172
1,3,Lord Snow,8,18M 50S,21M 42S,The Crownlands,King's Landing,Petyr Baelish,172
