aff nom com,Climat_Velo_num,Commune,Depcom,nb réponses/1000 hab,A,A+,B,C,Catégorie,Commune,D,disparite,E,F,G,podium,LATITUDE,LONGITUDE,Avg. n_tot_valide_net,Avg. note_globale_moy,POPULATION
,G,Saint-Mandé (94),94067,3.563415600,,,,,[20 000-50 000[,Saint-Mandé (94),,faible,,,G  très défavorable,non classé,48.842440243,2.419219109,71,1.996525822,3068685
,G,Saint-Just-Saint-Rambert (42),42279,5.974264706,,,,,[0-20 000[,Saint-Just-Saint-Rambert (42),,faible,,,G  très défavorable,non classé,45.490325093,4.250265096,83,2.287751004,2056320
,G,Saint-Jean-de-Védas (34),34270,7.443128211,,,,,[0-20 000[,Saint-Jean-de-Védas (34),,faible,,,G  très défavorable,non classé,43.571628232,3.832218480,67,2.186567164,1287765
,G,Saint-Georges-d'Orques (34),34259,12.163656469,,,,,[0-20 000[,Saint-Georges-d'Orques (34),,faible,,,G  très défavorable,non classé,43.616835365,3.773766298,65,2.136615385,732510
,G,Saint-Didier-au-Mont-d'Or (69),69194,11.578947368,,,,,[0-20 000[,Saint-Didier-au-Mont-d'Or (69),,moyenne,,,G  très défavorable,non classé,45.814728814,4.798443302,70,2.021095238,897750
,G,Saint-Denis (974),97411,0.966738778,,,,,[100 000-200 000[,Saint-Denis (974),,faible,,,G  très défavorable,non classé,-20.932970819,55.446867167,134,2.091293532,19969200
,G,Saint-Cyr-l'École (78),78545,6.027427560,,,,,[0-20 000[,Saint-Cyr-l'École (78),,faible,,,G  très défavorable,non classé,48.806575929,2.065925070,104,1.891666667,2441340
,G,Saint-Chamond (42),42207,1.980814398,,,,,[20 000-50 000[,Saint-Chamond (42),,faible,,,G  très défavorable,non classé,45.469831952,4.501849895,68,2.060049020,4770765
,G,Saint-Avold (57),57606,5.697267901,,,,,[0-20 000[,Saint-Avold (57),,faible,,,G  très défavorable,non classé,49.12845245,6.712335913,84,2.191468254,2085210
,G,Saint-Aunès (34),34240,16.566265060,,,,,[0-20 000[,Saint-Aunès (34),,faible,,,G  très défavorable,non classé,43.634951382,3.965788184,50,2.132533333,448200
,G,Rosny-sous-Bois (93),93064,3.237101143,,,,,[20 000-50 000[,Rosny-sous-Bois (93),,faible,,,G  très défavorable,non classé,48.874576377,2.486340459,142,2.246032864,6130485
,G,Romainville (93),93063,2.715956243,,,,,[20 000-50 000[,Romainville (93),,faible,,,G  très défavorable,non classé,48.885211897,2.437678842,67,2.179800995,3578850
,G,Puteaux (92),92062,3.515292643,,,,,[20 000-50 000[,Puteaux (92),,moyenne,,,G  très défavorable,non classé,48.883709497,2.238341783,143,2.263846154,6029370
,G,Prades-le-Lez (34),34217,22.748119611,,,,,[0-20 000[,Prades-le-Lez (34),,faible,,,G  très défavorable,non classé,43.707254160,3.864892139,116,2.227586207,735885
,G,Pontcharra (38),38314,9.269507471,,,,,[0-20 000[,Pontcharra (38),,faible,,,G  très défavorable,non classé,45.419932275,6.020518948,64,2.241510417,975780
,G,Poissy (78),78498,2.315188715,,,,,[20 000-50 000[,Poissy (78),,faible,,,G  très défavorable,non classé,48.923535937,2.027155528,80,2.214458333,5014710
,G,Plonéour-Lanvern (29),29174,8.730028002,,,,,[0-20 000[,Plonéour-Lanvern (29),,faible,,,G  très défavorable,non classé,47.908411465,-4.265360480,50,2.0794,819585
,G,Pézenas (34),34199,6.595822646,,,,,[0-20 000[,Pézenas (34),,faible,,,G  très défavorable,non classé,43.462990168,3.416516521,51,1.964183007,1105245
,G,Odars (31),31402,59.649122807,,,,,[0-20 000[,Odars (31),,moyenne,,,G  très défavorable,non classé,43.521939452,1.593265864,45,1.956296296,115425
,G,Noisy-le-Sec (93),93053,2.273927923,,,,,[20 000-50 000[,Noisy-le-Sec (93),,faible,,,G  très défavorable,non classé,48.891322463,2.459136474,87,2.058620690,5877495
,G,Noisy-le-Grand (93),93051,1.005115588,,,,,[50 000-100 000[,Noisy-le-Grand (93),,faible,,,G  très défavorable,non classé,48.836182540,2.564437368,63,2.287619048,8998965
,G,Nîmes (30),30189,5.139038814,,,,,[100 000-200 000[,Nîmes (30),,faible,,,G  très défavorable,non classé,43.844938394,4.348067970,748,2.267045455,20385135
,G,Narbonne (11),11262,5.019218569,,,,,[50 000-100 000[,Narbonne (11),,faible,,,G  très défavorable,non classé,43.165239990,3.020238687,252,2.293571429,7235190
,G,Montmorency (95),95428,2.563266067,,,,,[20 000-50 000[,Montmorency (95),,faible,,,G  très défavorable,non classé,48.991864336,2.321197978,52,2.250320513,2896695
,G,Montigny-lès-Metz (57),57480,2.855432230,,,,,[20 000-50 000[,Montigny-lès-Metz (57),,faible,,,G  très défavorable,non classé,49.095319911,6.154525995,57,2.297953216,2931255
,G,Montereau-Fault-Yonne (77),77305,2.685811683,,,,,[0-20 000[,Montereau-Fault-Yonne (77),,faible,,,G  très défavorable,non classé,48.389883091,2.961554797,47,2.003829787,2613735
,G,Montélimar (26),26198,8.063682415,,,,,[20 000-50 000[,Montélimar (26),,faible,,,G  très défavorable,non classé,44.554084573,4.748693878,287,2.182508711,5223420
,G,Montceau-les-Mines (71),71306,2.724067941,,,,,[0-20 000[,Montceau-les-Mines (71),,faible,,,G  très défavorable,non classé,46.676253913,4.354096040,48,2.052222222,2527470
,G,Miramas (13),13063,2.368380183,,,,,[20 000-50 000[,Miramas (13),,faible,,,G  très défavorable,non classé,43.584213412,5.013843486,59,2.160734463,3477060
,G,Menton (06),06083,3.054131854,,,,,[20 000-50 000[,Menton (06),,faible,,,G  très défavorable,non classé,43.790823373,7.493656124,80,1.969875,3845610
,G,Maubeuge (59),59392,2.055325314,,,,,[20 000-50 000[,Maubeuge (59),,faible,,,G  très défavorable,non classé,50.283630719,3.963280530,53,2.140503145,4006665
,G,Marseille (13),13055,2.149125910,,,,,[200 000 et plus,Marseille (13),,faible,,,G  très défavorable,11ème/ 11 de la catégorie,43.296482,5.36978,1751,1.960316010,116398485
,G,Marly-le-Roi (78),78372,2.848826407,,,,,[0-20 000[,Marly-le-Roi (78),,faible,,,G  très défavorable,non classé,48.865007453,2.091250043,44,2.283030303,2179845
,G,Marly (57),57447,6.368792915,,,,,[0-20 000[,Marly (57),,faible,,,G  très défavorable,non classé,49.065850967,6.152314854,60,2.169166667,1356615
,G,Manosque (04),04112,4.572891897,,,,,[20 000-50 000[,Manosque (04),,faible,,,G  très défavorable,non classé,43.835404083,5.791066542,95,2.235017544,2952180
,G,Lozanne (69),69121,28.419856006,,,,,[0-20 000[,Lozanne (69),,faible,,,G  très défavorable,non classé,45.853020607,4.685421934,71,2.230610329,356265
,G,Lompret (59),59356,27.379400261,,,,,[0-20 000[,Lompret (59),,faible,,,G  très défavorable,non classé,50.663168044,2.995161003,59,2.113954802,310635
,G,Loches (37),37132,16.393442623,,,,,[0-20 000[,Loches (37),,faible,,,G  très défavorable,non classé,47.120146423,0.974151851,100,2.232,848205
,G,Lisieux (14),14366,2.758484804,,,,,[20 000-50 000[,Lisieux (14),,faible,,,G  très défavorable,non classé,49.146662846,0.238274840,52,2.011923077,2740635
,G,Levallois-Perret (92),92044,3.214522076,,,,,[50 000-100 000[,Levallois-Perret (92),,faible,,,G  très défavorable,non classé,48.895071672,2.286882681,189,2.052363316,8567370
,G,Le Mesnil-Esnard (76),76429,9.150162948,,,,,[0-20 000[,Le Mesnil-Esnard (76),,faible,,,G  très défavorable,non classé,49.413523652,1.145130583,68,2.174117647,1077030
,G,Le Kremlin-Bicêtre (94),94043,2.886288154,,,,,[20 000-50 000[,Le Kremlin-Bicêtre (94),,faible,,,G  très défavorable,non classé,48.809220102,2.356579652,71,2.173615023,3414420
,G,Le Creusot (71),71153,2.942258183,,,,,[20 000-50 000[,Le Creusot (71),,faible,,,G  très défavorable,non classé,46.806853919,4.426423012,57,2.239064327,2936520
,G,Le Crès (34),34090,6.480181445,,,,,[0-20 000[,Le Crès (34),,faible,,,G  très défavorable,non classé,43.654097870,3.936088512,57,2.283274854,1249965
,G,Le Cannet (06),06030,1.033355763,,,,,[20 000-50 000[,Le Cannet (06),,faible,,,G  très défavorable,non classé,43.572976861,7.006420578,41,2.036504065,5617620
,G,Laxou (54),54304,4.049996509,,,,,[0-20 000[,Laxou (54),,faible,,,G  très défavorable,non classé,48.682206261,6.113586302,57,2.291169591,1933335
,G,Lavaur (81),81140,9.181118427,,,,,[0-20 000[,Lavaur (81),,moyenne,,,G  très défavorable,non classé,43.689562871,1.794372137,77,2.107532468,1455705
,G,La Seyne-sur-Mer (83),83126,2.336737852,,,,,[50 000-100 000[,La Seyne-sur-Mer (83),,faible,,,G  très défavorable,non classé,43.088029497,5.870898418,139,2.051438849,8723700
,G,La Roche-sur-Foron (74),74224,5.680373039,,,,,[0-20 000[,La Roche-sur-Foron (74),,faible,,,G  très défavorable,non classé,46.043148414,6.301076536,65,2.292,1592325
,G,La Mulatière (69),69142,9.651898734,,,,,[0-20 000[,La Mulatière (69),,faible,,,G  très défavorable,non classé,45.730353219,4.812208407,56,2.042976190,853200
,G,La Chapelle-Saint-Mesmin (45),45075,6.553849164,,,,,[0-20 000[,La Chapelle-Saint-Mesmin (45),,faible,,,G  très défavorable,non classé,47.888706336,1.828471848,61,2.031912568,1380105
,G,L'Isle-Jourdain (32),32160,6.759078932,,,,,[0-20 000[,L'Isle-Jourdain (32),,faible,,,G  très défavorable,non classé,43.614492604,1.081278366,55,1.998727273,1178415
,G,L'Île-Saint-Denis (93),93039,8.476753147,,,,,[0-20 000[,L'Île-Saint-Denis (93),,faible,,,G  très défavorable,non classé,48.939569377,2.325452528,62,2.096075269,1051110
,G,L'Haÿ-les-Roses (94),94038,2.148193273,,,,,[20 000-50 000[,L'Haÿ-les-Roses (94),,faible,,,G  très défavorable,non classé,48.776320784,2.337729156,62,1.965537634,4210515
,G,L'Arbresle (69),69010,11.991901573,,,,,[0-20 000[,L'Arbresle (69),,faible,,,G  très défavorable,non classé,45.835666316,4.609372671,72,2.112314815,866835
,G,Juvisy-sur-Orge (91),91326,3.365767089,,,,,[0-20 000[,Juvisy-sur-Orge (91),,faible,,,G  très défavorable,non classé,48.691878932,2.373936826,51,1.962875817,2206035
,G,Jouars-Pontchartrain (78),78321,13.240293434,,,,,[0-20 000[,Jouars-Pontchartrain (78),,faible,,,G  très défavorable,non classé,48.790454465,1.907842279,70,2.260428571,754515
,G,Jarville-la-Malgrange (54),54274,5.848586592,,,,,[0-20 000[,Jarville-la-Malgrange (54),,faible,,,G  très défavorable,non classé,48.667159581,6.204653474,49,2.275170068,1246455
,G,Istres (13),13047,2.026790914,,,,,[20 000-50 000[,Istres (13),,moyenne,,,G  très défavorable,non classé,43.550268910,4.951181352,80,2.148958333,5794875
,G,Guéret (23),23096,5.273069680,,,,,[0-20 000[,Guéret (23),,faible,,,G  très défavorable,non classé,46.163212143,1.870786727,65,2.165282051,1792125
,G,Grasse (06),06069,1.697022318,,,,,[50 000-100 000[,Grasse (06),,moyenne,,,G  très défavorable,non classé,43.655639428,6.931905082,81,2.204938272,6841395
,G,Gleizé (69),69092,6.423123244,,,,,[0-20 000[,Gleizé (69),,faible,,,G  très défavorable,non classé,45.991035983,4.687922277,44,2.143181818,1008855
,G,Gardanne (13),13041,2.842162003,,,,,[20 000-50 000[,Gardanne (13),,faible,,,G  très défavorable,non classé,43.452606325,5.479638603,58,2.138965517,2754945
,G,Gagny (93),93032,1.583733524,,,,,[20 000-50 000[,Gagny (93),,faible,,,G  très défavorable,non classé,48.882076312,2.544948476,60,2.014444444,5284980
,G,Fresnes (94),94034,2.735628830,,,,,[20 000-50 000[,Fresnes (94),,faible,,,G  très défavorable,non classé,48.757134302,2.326128397,71,2.274460094,3701160
,G,Francheville (69),69089,7.073819863,,,,,[0-20 000[,Francheville (69),,faible,,,G  très défavorable,non classé,45.737879432,4.755083140,98,2.220714286,1927530
,G,Firminy (42),42095,3.059903495,,,,,[0-20 000[,Firminy (42),,moyenne,,,G  très défavorable,non classé,45.378814609,4.288794561,43,2.201782946,2294190
,G,Fillière (74),74282,8.933435015,,,,,[0-20 000[,Fillière (74),,faible,,,G  très défavorable,non classé,45.992373389,6.288375792,78,2.243205128,1239165
,G,Faches-Thumesnil (59),59220,4.377238361,,,,,[0-20 000[,Faches-Thumesnil (59),,faible,,,G  très défavorable,non classé,50.593618421,3.072295374,73,2.246073059,2374785
,G,Eaubonne (95),95203,5.444934621,,,,,[20 000-50 000[,Eaubonne (95),,faible,,,G  très défavorable,non classé,48.990994016,2.278009255,131,2.215216285,3396735
,G,Drémil-Lafage (31),31163,21.853805576,,,,,[0-20 000[,Drémil-Lafage (31),,faible,,,G  très défavorable,non classé,43.591745005,1.603178585,51,1.964509804,358290
,G,Draveil (91),91201,3.620342225,,,,,[20 000-50 000[,Draveil (91),,moyenne,,,G  très défavorable,non classé,48.677841377,2.421978019,93,1.976200717,3952665
,G,Deuil-la-Barre (95),95197,2.643369176,,,,,[20 000-50 000[,Deuil-la-Barre (95),,faible,,,G  très défavorable,non classé,48.971269017,2.326162901,56,2.228511905,3013200
,G,Creil (60),60175,2.321873164,,,,,[20 000-50 000[,Creil (60),,moyenne,,,G  très défavorable,non classé,49.253348714,2.484726694,74,2.009144144,4825845
,G,Coulogne (62),62244,9.768927297,,,,,[0-20 000[,Coulogne (62),,faible,,,G  très défavorable,non classé,50.916752799,1.886564993,45,2.157703704,718605
,G,Collonges-sous-Salève (74),74082,12.885295604,,,,,[0-20 000[,Collonges-sous-Salève (74),,faible,,,G  très défavorable,non classé,46.136275582,6.160711258,49,2.166530612,534330
,G,Chazay-d'Azergues (69),69052,21.791767554,,,,,[0-20 000[,Chazay-d'Azergues (69),,faible,,,G  très défavorable,non classé,45.876309687,4.709209468,86,2.200813953,557550
,G,Châtillon (92),92020,7.178009190,,,,,[20 000-50 000[,Châtillon (92),,faible,,,G  très défavorable,non classé,48.803409176,2.287991319,254,2.271535433,4965165
,G,Châtenay-Malabry (92),92019,3.574024715,,,,,[20 000-50 000[,Châtenay-Malabry (92),,moyenne,,,G  très défavorable,non classé,48.768169020,2.262825985,110,2.170636364,4457160
,G,Chanceaux-sur-Choisille (37),37054,15.986297459,,,,,[0-20 000[,Chanceaux-sur-Choisille (37),,faible,,,G  très défavorable,non classé,47.478119015,0.703218956,50,1.988133333,472905
,G,Champigny-sur-Marne (94),94017,1.356431423,,,,,[50 000-100 000[,Champigny-sur-Marne (94),,faible,,,G  très défavorable,non classé,48.817254364,2.517098153,100,2.291433333,10450215
,G,Champagnole (39),39097,6.306760848,,,,,[0-20 000[,Champagnole (39),,moyenne,,,G  très défavorable,non classé,46.744538975,5.898810295,46,2.276594203,1070280
,G,Chamalières (63),63075,3.934729777,,,,,[0-20 000[,Chamalières (63),,faible,,,G  très défavorable,non classé,45.774796655,3.061268184,60,2.053611111,2333070
,G,Cébazat (63),63063,9.425981873,,,,,[0-20 000[,Cébazat (63),,moyenne,,,G  très défavorable,non classé,45.831890918,3.108028149,73,2.015570776,1117125
,G,Castres (81),81065,2.370700082,,,,,[20 000-50 000[,Castres (81),,faible,,,G  très défavorable,non classé,43.615651124,2.237872316,95,2.151649123,5580630
,G,Carrières-sous-Poissy (78),78123,6.485812286,,,,,[0-20 000[,Carrières-sous-Poissy (78),,faible,,,G  très défavorable,non classé,48.945563899,2.029137065,97,2.168281787,2164725
,G,Carcassonne (11),11069,2.091731125,,,,,[20 000-50 000[,Carcassonne (11),,faible,,,G  très défavorable,non classé,43.209379844,2.343988554,87,2.241302682,6195825
,G,Cambrai (59),59122,2.081547692,,,,,[20 000-50 000[,Cambrai (59),,faible,,,G  très défavorable,non classé,50.170277598,3.242210211,64,2.029270833,4410180
,G,Bourg-de-Péage (26),26057,8.001524100,,,,,[0-20 000[,Bourg-de-Péage (26),,faible,,,G  très défavorable,non classé,45.017159211,5.050965462,78,2.279786325,1417230
,G,Bouc-Bel-Air (13),13015,6.700283208,,,,,[0-20 000[,Bouc-Bel-Air (13),,faible,,,G  très défavorable,non classé,43.447229662,5.412370561,94,2.128794326,1954395
,G,Bonsecours (76),76103,9.732735980,,,,,[0-20 000[,Bonsecours (76),,moyenne,,,G  très défavorable,non classé,49.426026931,1.129433867,60,2.181444444,873855
,G,Biarritz (64),64122,3.228800904,,,,,[20 000-50 000[,Biarritz (64),,moyenne,,,G  très défavorable,non classé,43.469584723,-1.553098575,74,2.287927928,3344895
,G,Béziers (34),34032,2.300864131,,,,,[50 000-100 000[,Béziers (34),,faible,,,G  très défavorable,non classé,43.347588332,3.230767542,167,1.926886228,10326555
,G,Beynes (78),78062,8.191306646,,,,,[0-20 000[,Beynes (78),,faible,,,G  très défavorable,non classé,48.854444414,1.869890175,56,1.909166667,1021815
,G,Beaucaire (30),30032,3.337111195,,,,,[0-20 000[,Beaucaire (30),,faible,,,G  très défavorable,non classé,43.779742951,4.593802969,52,2.060705128,2144070
,G,Bastia (2B),2B033,1.316112338,,,,,[20 000-50 000[,Bastia (2B),,faible,,,G  très défavorable,non classé,42.686476881,9.425021333,57,2.297543860,6051915
,G,Bagnols-sur-Cèze (30),30028,3.133245383,,,,,[0-20 000[,Bagnols-sur-Cèze (30),,faible,,,G  très défavorable,non classé,44.162249674,4.624773809,51,2.148169935,2455920
,G,Bagnolet (93),93006,3.736337274,,,,,[20 000-50 000[,Bagnolet (93),,moyenne,,,G  très défavorable,non classé,48.869083631,2.422740967,129,2.062403101,4841640
,G,Bagnères-de-Bigorre (65),65059,9.724473258,,,,,[0-20 000[,Bagnères-de-Bigorre (65),,moyenne,,,G  très défavorable,non classé,42.975866886,0.132640694,67,2.278009950,999540
,G,Auterive (31),31033,6.469115192,,,,,[0-20 000[,Auterive (31),,faible,,,G  très défavorable,non classé,43.359599158,1.477427966,62,2.275430108,1293840
,G,Aussonne (31),31032,8.595988539,,,,,[0-20 000[,Aussonne (31),,faible,,,G  très défavorable,non classé,43.683603449,1.328870549,56,2.118690476,942300
,G,Aulnay-sous-Bois (93),93005,0.862252250,,,,,[50 000-100 000[,Aulnay-sous-Bois (93),,faible,,,G  très défavorable,non classé,48.945838437,2.493290417,68,2.270686275,11429370
,G,Aubervilliers (93),93001,2.428510010,,,,,[50 000-100 000[,Aubervilliers (93),,faible,,,G  très défavorable,non classé,48.912172263,2.384455138,200,1.949633333,11618235
,G,Aubagne (13),13005,2.914550673,,,,,[20 000-50 000[,Aubagne (13),,faible,,,G  très défavorable,non classé,43.293484376,5.563312735,121,2.076969697,6114150
,G,Argenteuil (95),95018,1.430278452,,,,,[100 000-200 000[,Argenteuil (95),,faible,,,G  très défavorable,non classé,48.951134463,2.241040950,150,2.081155556,14913180
,G,Antibes (06),06004,5.880918182,,,,,[50 000-100 000[,Antibes (06),,faible,,,G  très défavorable,non classé,43.587465146,7.106354183,412,2.237419094,9962730
,G,Ambarès-et-Lagrave (33),33003,3.417422642,,,,,[0-20 000[,Ambarès-et-Lagrave (33),,faible,,,G  très défavorable,non classé,44.944489771,-0.500579134,50,2.2112,2172690
,G,Ajaccio (2A),2A004,3.894317771,,,,,[50 000-100 000[,Ajaccio (2A),,faible,,,G  très défavorable,non classé,41.934792664,8.701322760,255,2.039202614,9325125
,F,Yutz (57),57757,3.243971110,,,,,[0-20 000[,Yutz (57),,faible,,F  défavorable,,non classé,49.351784809,6.201719293,48,2.378680556,2205630
,F,Wavrin (59),59653,14.944939696,,,,,[0-20 000[,Wavrin (59),,faible,,F  défavorable,,non classé,50.572622403,2.933372268,111,2.533243243,1029780
,F,Wasquehal (59),59646,4.584499566,,,,,[20 000-50 000[,Wasquehal (59),,faible,,F  défavorable,,non classé,50.675098475,3.128580171,90,2.596740741,2797470
,F,Voiron (38),38563,5.740016824,,,,,[20 000-50 000[,Voiron (38),,faible,,F  défavorable,,non classé,45.379172084,5.582403107,113,2.463038348,2728215
,F,Vitrolles (13),13117,1.889020071,,,,,[20 000-50 000[,Vitrolles (13),,faible,,F  défavorable,,non classé,43.449783167,5.263577877,62,2.561344086,4573800
,F,Viroflay (78),78686,5.488337283,,,,,[0-20 000[,Viroflay (78),,faible,,F  défavorable,,non classé,48.802404069,2.171512911,88,2.571022727,2164590
,F,Villers-lès-Nancy (54),54578,4.427533725,,,,,[0-20 000[,Villers-lès-Nancy (54),,faible,,F  défavorable,,non classé,48.661692332,6.128787336,64,2.38734375,1951425
,F,Villenave-d'Ornon (33),33550,2.992366412,,,,,[20 000-50 000[,Villenave-d'Ornon (33),,faible,,F  défavorable,,non classé,44.773185218,-0.558212256,95,2.467859649,4421250
,F,Villejuif (94),94076,1.748440823,,,,,[50 000-100 000[,Villejuif (94),,faible,,F  défavorable,,non classé,48.792854727,2.360061032,93,2.633799283,7489530
,F,Villefranche-sur-Saône (69),69264,5.044812966,,,,,[20 000-50 000[,Villefranche-sur-Saône (69),,faible,,F  défavorable,,non classé,45.987459667,4.731740073,181,2.412615101,5030910
,F,Villard-Bonnot (38),38547,16.755843424,,,,,[0-20 000[,Villard-Bonnot (38),,faible,,F  défavorable,,non classé,45.244620573,5.889067254,114,2.404590643,958770
,F,Vif (38),38545,6.927854754,,,,,[0-20 000[,Vif (38),,moyenne,,F  défavorable,,non classé,45.043099948,5.674250760,54,2.322037037,1130220
,F,Vierzon (18),18279,3.527403755,,,,,[20 000-50 000[,Vierzon (18),,faible,,F  défavorable,,non classé,47.236883608,2.079075705,88,2.553257576,3559275
,F,Vienne (38),38544,3.496978339,,,,,[20 000-50 000[,Vienne (38),,faible,,F  défavorable,,non classé,45.520578372,4.881351562,102,2.669869281,3976290
,F,Vezin-le-Coquet (35),35353,9.557522124,,,,,[0-20 000[,Vezin-le-Coquet (35),,faible,,F  défavorable,,non classé,48.117182925,-1.749564734,52,2.549679487,762750
,F,Verneuil-sur-Seine (78),78642,3.618739903,,,,,[0-20 000[,Verneuil-sur-Seine (78),,faible,,F  défavorable,,non classé,48.987209337,1.962765322,52,2.355576923,2089125
,F,Vernaison (69),69260,11.699507389,,,,,[0-20 000[,Vernaison (69),,faible,,F  défavorable,,non classé,45.649389907,4.809305207,55,2.509393939,657720
,F,Vern-sur-Seiche (35),35352,15.076650196,,,,,[0-20 000[,Vern-sur-Seiche (35),,faible,,F  défavorable,,non classé,48.052524501,-1.605211062,117,2.687692308,1065555
,F,Venelles (13),13113,7.062485037,,,,,[0-20 000[,Venelles (13),,moyenne,,F  défavorable,,non classé,43.592867390,5.491383816,56,2.5475,1127790
,F,Vence (06),06157,3.225979891,,,,,[0-20 000[,Vence (06),,faible,,F  défavorable,,non classé,43.738464064,7.101944361,59,2.648022599,2510865
